city,country,lat,lon,temp,humidity,cloudiness,wind speed
Barrow,US,71.29,-156.79,42.8,87,90,16.11
Hilo,US,19.73,-155.09,74.88,83,90,1.43
Guerrero Negro,MX,27.98,-114.06,79.48,50,0,14.43
Khatanga,RU,71.97,102.5,51.33,84,3,8.34
Shangqiu,CN,34.45,115.65,82.0,92,100,1.01
Rikitea,PF,-23.12,-134.97,68.72,77,85,19.39
Bluff,NZ,-46.6,168.33,47.12,90,97,8.41
Punta Arenas,CL,-53.15,-70.92,42.39,68,40,16.11
Provideniya,RU,64.38,-173.3,42.35,64,95,7.27
Muros,ES,42.78,-9.06,79.63,65,0,13.87
East London,ZA,-33.02,27.91,57.31,68,0,20.42
Tuatapere,NZ,-46.13,167.68,44.46,86,100,3.4
Astoria,US,46.19,-123.83,63.9,77,40,4.7
Upernavik,GL,72.79,-56.15,38.23,89,100,2.73
Puerto Ayora,EC,-0.74,-90.35,72.55,64,40,19.46
Arraial do Cabo,BR,-22.97,-42.03,76.66,64,0,12.75
Caravelas,BR,-17.71,-39.25,74.21,66,5,10.33
Yellowknife,CA,62.46,-114.35,69.82,64,75,5.82
Mirador,BR,-6.37,-44.36,92.89,25,0,9.69
Chicama,PE,-7.84,-79.15,71.87,52,0,11.14
Lebu,CL,-37.62,-73.65,49.89,65,61,18.7
Avarua,CK,-21.21,-159.78,71.6,94,0,14.99
Leningradskiy,RU,69.38,178.42,40.42,72,100,6.49
Dingle,PH,11.0,122.67,77.27,89,100,6.55
Tūkrah,LY,32.53,20.58,78.96,77,6,7.87
Tiksi,RU,71.69,128.87,52.25,84,100,6.44
Garden City,US,42.33,-83.33,78.71,36,40,4.7
Vila Velha,BR,-20.33,-40.29,74.16,69,40,10.29
Koryazhma,RU,61.31,47.17,59.92,94,100,5.48
Eskişehir,TR,39.78,30.52,77.86,57,0,10.29
Cabo San Lucas,MX,22.89,-109.91,88.93,49,5,6.93
Butaritari,KI,3.07,172.79,83.68,72,81,20.8
Longyearbyen,SJ,78.22,15.64,51.8,81,98,9.17
Hermanus,ZA,-34.42,19.23,45.0,90,0,3.24
Talnakh,RU,69.49,88.4,55.4,76,100,8.95
Tanete,ID,-3.94,119.78,72.61,88,3,7.4
Busselton,AU,-33.65,115.33,42.01,71,97,9.08
Torbay,CA,47.67,-52.73,81.18,65,40,21.92
Kuytun,RU,54.34,101.5,55.62,96,100,10.45
Lucapa,AO,-8.42,20.74,72.05,21,0,2.59
Fairbanks,US,64.84,-147.72,64.29,55,1,6.93
Qaanaaq,GL,77.48,-69.36,40.23,67,0,3.44
Hobart,AU,-42.88,147.33,33.13,93,40,10.29
Carnarvon,AU,-24.87,113.63,55.4,66,66,9.17
Watsa,CD,3.04,29.54,66.45,97,100,0.45
Dekar,BW,-21.53,21.93,58.03,34,0,14.83
Marawi,PH,8.0,124.29,75.99,95,100,3.0
Cayenne,GF,4.93,-52.33,86.0,70,46,9.17
Severo-Kuril'sk,RU,50.68,156.12,49.57,87,7,6.53
Nadym,RU,65.53,72.52,64.47,64,0,13.53
Synya,RU,65.37,58.04,57.42,82,24,0.92
Sitka,US,57.05,-135.33,57.2,82,75,3.36
Vaini,TO,-21.2,-175.2,64.4,93,40,7.54
Ereymentau,KZ,51.62,73.1,67.6,43,0,4.27
Jamestown,US,42.1,-79.24,72.39,52,75,9.17
San Quintín,MX,30.48,-115.95,74.1,58,0,18.43
Nabire,ID,-3.37,135.48,74.84,91,100,3.85
Louis Trichardt,ZA,-23.04,29.9,61.0,40,0,2.17
Coahuayana Viejo,MX,18.73,-103.68,80.6,78,40,5.37
Constitución,CL,-35.33,-72.42,55.04,54,100,16.31
Wawa,NG,9.9,4.42,74.23,88,100,4.65
Altagracia de Orituco,VE,9.86,-66.38,80.51,84,100,2.91
Riyadh,SA,24.69,46.72,95.0,11,0,9.17
Saint-Philippe,RE,-21.36,55.77,62.78,68,40,6.93
Mataura,NZ,-46.19,168.86,41.2,94,100,2.3
Ushuaia,AR,-54.8,-68.3,41.0,78,75,17.22
Castro,BR,-24.79,-50.01,71.19,41,0,2.84
Ponta do Sol,PT,32.67,-17.1,68.65,78,75,4.7
Husavik,IS,66.04,-17.34,62.6,45,20,6.93
Sioux Lookout,CA,50.1,-91.92,78.8,54,75,12.75
Cape Town,ZA,-33.93,18.42,50.0,87,0,1.12
Rosarito,MX,32.33,-117.03,74.05,56,5,6.93
Batemans Bay,AU,-35.72,150.18,40.78,87,100,1.01
Atuona,PF,-9.8,-139.03,78.69,73,0,20.27
Chenghai,CN,23.46,116.77,80.6,94,75,2.39
Kadom,RU,54.56,42.47,63.68,82,0,2.46
Kattivākkam,IN,13.22,80.32,86.0,79,75,9.17
Kargasok,RU,59.06,80.86,58.6,90,0,7.09
Luau,AO,-10.71,22.22,67.75,22,0,4.79
Albany,US,42.6,-73.97,76.64,47,6,4.68
Slave Lake,CA,55.28,-114.77,71.6,64,90,11.41
Pevek,RU,69.7,170.31,38.82,98,100,9.73
Saldanha,ZA,-33.01,17.94,53.6,71,0,5.82
Río Gallegos,AR,-51.62,-69.22,41.0,65,75,10.29
Linkou,CN,45.3,130.28,59.27,92,100,3.78
Tuktoyaktuk,CA,69.45,-133.04,57.2,71,90,16.11
Bredasdorp,ZA,-34.53,20.04,48.2,87,0,4.7
Cherskiy,RU,68.75,161.3,47.68,91,100,19.62
Padang,ID,-0.95,100.35,77.59,79,76,3.29
